Model,Feature,Importance
XGBoost,budget,0.002694513648748398
XGBoost,revenue,0.011180575005710125
XGBoost,runtime,3.6114844448320582e-09
XGBoost,vote_average,1.133201199543521e-09
XGBoost,vote_count,2.747692917637323e-07
XGBoost,popularity,1.903012331050391e-10
XGBoost,release_year,1.2674747917884588e-09
XGBoost,release_month,3.8633839183344065e-11
XGBoost,release_quarter,0.0
XGBoost,release_day_of_week,0.0
XGBoost,is_summer,0.0
XGBoost,is_holiday,0.0
XGBoost,is_q1,0.0
XGBoost,genre_drama,2.8004525781666345e-11
XGBoost,genre_comedy,0.0
XGBoost,genre_thriller,2.8585257424995625e-11
XGBoost,genre_romance,0.0
XGBoost,genre_action,0.0
XGBoost,genre_horror,0.0
XGBoost,genre_crime,0.0
XGBoost,genre_documentary,0.0
XGBoost,genre_adventure,0.0
XGBoost,genre_science_fiction,0.0
XGBoost,genre_family,0.0
XGBoost,genre_mystery,0.0
XGBoost,genre_fantasy,0.0
XGBoost,genre_animation,0.0
XGBoost,genre_foreign,0.0
XGBoost,genre_count,0.0
XGBoost,cast_avg_roi,0.986124575138092
XGBoost,cast_avg_experience,0.0
XGBoost,num_top_actors,3.088076322432798e-11
XGBoost,is_franchise,0.0
XGBoost,budget_log,0.0
XGBoost,budget_micro,0.0
XGBoost,budget_low,0.0
XGBoost,budget_medium,0.0
XGBoost,budget_high,0.0
XGBoost,budget_blockbuster,0.0
XGBoost,runtime_short,0.0
XGBoost,runtime_standard,0.0
XGBoost,runtime_long,0.0
XGBoost,runtime_epic,0.0
XGBoost,popularity_q1,0.0
XGBoost,popularity_q2,0.0
XGBoost,popularity_q3,0.0
XGBoost,popularity_q4,0.0
XGBoost,vote_count_log,0.0
XGBoost,has_high_rating,0.0
XGBoost,years_since_release,0.0
XGBoost,is_recent,0.0
Random Forest,budget,0.03713655407579376
Random Forest,revenue,0.07617293051367605
Random Forest,runtime,0.024155758871026767
Random Forest,vote_average,0.013795703452773554
Random Forest,vote_count,0.010771930957297081
Random Forest,popularity,0.017218640748849955
Random Forest,release_year,0.01957172411047157
Random Forest,release_month,0.0007180328917338441
Random Forest,release_quarter,0.005904462851496816
Random Forest,release_day_of_week,0.00035384416047532543
Random Forest,is_summer,1.5885362128097889e-06
Random Forest,is_holiday,1.072732384024638e-08
Random Forest,is_q1,0.00032982523680582626
Random Forest,genre_drama,0.00023136745702718678
Random Forest,genre_comedy,1.1149305797302133e-08
Random Forest,genre_thriller,0.00011813234821881954
Random Forest,genre_romance,0.00017985862979368817
Random Forest,genre_action,0.00027537874238443437
Random Forest,genre_horror,0.008602880529585051
Random Forest,genre_crime,4.221315244109348e-10
