Feature,Importance
budget_micro,0.3041297
runtime_long,0.08212268
vote_count,0.05335279
num_top_actors,0.049832296
is_franchise,0.047044955
budget,0.044928566
vote_average,0.035051964
release_year,0.028912676
is_summer,0.026259188
genre_horror,0.024314366
popularity_q2,0.023310166
popularity,0.022462552
popularity_q3,0.020000327
genre_family,0.01873662
genre_documentary,0.01828433
runtime,0.017522307
genre_action,0.017198972
genre_crime,0.01653626
genre_mystery,0.015477905
genre_drama,0.015220089
genre_science_fiction,0.014078899
budget_low,0.012358248
cast_avg_roi,0.011175044
release_month,0.011144141
cast_avg_experience,0.010645781
release_day_of_week,0.009858252
genre_comedy,0.008830117
genre_romance,0.0088036135
genre_fantasy,0.007508866
genre_animation,0.007122937
genre_thriller,0.0067950333
genre_count,0.005291973
budget_medium,0.0036015538
runtime_standard,0.0020867817
release_quarter,0.0
is_q1,0.0
is_holiday,0.0
genre_adventure,0.0
genre_foreign,0.0
budget_log,0.0
budget_blockbuster,0.0
runtime_short,0.0
budget_high,0.0
popularity_q1,0.0
runtime_epic,0.0
popularity_q4,0.0
vote_count_log,0.0
has_high_rating,0.0
years_since_release,0.0
is_recent,0.0
is_alist,0.0
