id,title,budget,revenue,release_date,runtime,vote_average,vote_count,popularity,roi,release_year,release_month,release_quarter,release_day_of_week,is_summer,is_holiday,is_q1,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,genre_family,genre_mystery,genre_fantasy,genre_animation,genre_foreign,genre_count,cast_avg_roi,cast_avg_experience,num_top_actors,is_franchise,budget_log,budget_category,budget_micro,budget_low,budget_medium,budget_high,budget_blockbuster,runtime_category,runtime_short,runtime_standard,runtime_long,runtime_epic,popularity_quartile,popularity_q1,popularity_q2,popularity_q3,popularity_q4,vote_count_log,has_high_rating,years_since_release,is_recent
862,Toy Story,30000000,373554033,1995-10-30,81,7.7,5415,21.946943,1145.18,1995,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,0.0,0.0,0.0,1,17.216707972959764,high,False,False,False,True,False,short,True,False,False,False,q4,False,False,False,True,8.59711281459211,1,25,0
8844,Jumanji,65000000,262797249,1995-12-15,104,6.9,2413,17.015539,304.3,1995,12,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3.0,0.0,0.0,0.0,0,17.989897843244528,blockbuster,False,False,False,False,True,standard,False,True,False,False,q4,False,False,False,True,7.789040401657477,0,25,0
31357,Waiting to Exhale,16000000,81452156,1995-12-22,127,6.1,34,3.859495,409.08,1995,12,4,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,16.588099342704055,medium,False,False,True,False,False,long,False,False,True,False,q1,True,False,False,False,3.555348061489413,0,25,0
949,Heat,60000000,187436818,1995-12-15,170,7.7,1886,17.924927,212.39,1995,12,4,4,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,17.909855136853043,blockbuster,False,False,False,False,True,epic,False,False,False,True,q4,False,False,False,True,7.54274354536855,1,25,0
9091,Sudden Death,35000000,64350171,1995-12-22,106,5.5,174,5.23158,83.86,1995,12,4,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.370858648025116,high,False,False,False,True,False,standard,False,True,False,False,q1,True,False,False,False,5.1647859739235145,0,25,0
710,GoldenEye,58000000,352194034,1995-11-16,130,6.6,1194,14.686036,507.23,1995,11,4,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1,17.87595358575207,blockbuster,False,False,False,False,True,long,False,False,True,False,q4,False,False,False,True,7.085901464365611,0,25,0
9087,The American President,62000000,107879496,1995-11-17,106,6.5,199,6.318445,74.0,1995,11,4,4,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.9426449591384,blockbuster,False,False,False,False,True,standard,False,True,False,False,q2,False,True,False,False,5.298317366548036,0,25,0
10858,Nixon,44000000,13681765,1995-12-22,192,7.1,72,5.092,-68.91,1995,12,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,17.599700214609808,high,False,False,False,True,False,epic,False,False,False,True,q1,True,False,False,False,4.290459441148391,1,25,0
1408,Cutthroat Island,98000000,10017322,1995-12-22,119,5.7,137,7.284477,-89.78,1995,12,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,18.400478046838927,blockbuster,False,False,False,False,True,standard,False,True,False,False,q2,False,True,False,False,4.927253685157205,0,25,0
524,Casino,52000000,116112375,1995-11-22,178,7.8,1343,10.137389,123.29,1995,11,4,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,17.76675429577647,blockbuster,False,False,False,False,True,epic,False,False,False,True,q3,False,False,True,False,7.203405521083095,1,25,0
4584,Sense and Sensibility,16500000,135000000,1995-12-13,136,7.2,364,10.673167,718.18,1995,12,4,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.61887099947687,medium,False,False,True,False,False,long,False,False,True,False,q3,False,False,True,False,5.899897353582492,1,25,0
5,Four Rooms,4000000,4300000,1995-12-09,98,6.5,539,9.026586,7.5,1995,12,4,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,15.201805169084134,low,False,True,False,False,False,standard,False,True,False,False,q3,False,False,True,False,6.29156913955832,0,25,0
9273,Ace Ventura: When Nature Calls,30000000,212385533,1995-11-10,90,6.1,1128,8.205448,607.95,1995,11,4,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1,17.216707972959764,high,False,False,False,True,False,short,True,False,False,False,q2,False,True,False,False,7.029087564149662,0,25,0
11517,Money Train,60000000,35431113,1995-11-21,103,5.4,224,7.337906,-40.95,1995,11,4,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.909855136853043,blockbuster,False,False,False,False,True,standard,False,True,False,False,q2,False,True,False,False,5.41610040220442,0,25,0
8012,Get Shorty,30250000,115101622,1995-10-20,105,6.4,305,12.669608,280.5,1995,10,4,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,1,17.225006775498976,high,False,False,False,True,False,standard,False,True,False,False,q4,False,False,False,True,5.723585101952381,0,25,0
9691,Assassins,50000000,30303072,1995-10-06,132,6.0,394,11.065939,-39.39,1995,10,4,4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,long,False,False,True,False,q3,False,False,True,False,5.978885764901122,0,25,0
451,Leaving Las Vegas,3600000,49800000,1995-10-27,112,7.1,365,10.332025,1283.33,1995,10,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,15.096444681204078,low,False,True,False,False,False,standard,False,True,False,False,q3,False,False,True,False,5.902633333401366,1,25,0
9263,Now and Then,12000000,27400000,1995-10-20,100,6.6,91,8.681325,128.33,1995,10,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0,0,16.300417291085605,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,4.5217885770490405,0,25,0
902,The City of Lost Children,18000000,1738611,1995-05-16,108,7.6,308,9.822423,-90.34,1995,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.0,0.0,0.0,0.0,0,16.705882371415992,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,5.733341276897746,1,25,0
63,Twelve Monkeys,29500000,168840000,1995-12-29,129,7.4,2470,12.297305,472.34,1995,12,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3.0,0.0,0.0,0.0,0,17.19990085520835,high,False,False,False,True,False,long,False,False,True,False,q4,False,False,False,True,7.81237820598861,1,25,0
9598,Babe,30000000,254134910,1995-07-18,89,6.0,756,14.404764,747.12,1995,7,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0,0.0,0.0,0.0,1,17.216707972959764,high,False,False,False,True,False,short,True,False,False,False,q4,False,False,False,True,6.6293632534374485,0,25,0
687,Dead Man Walking,11000000,39363635,1995-12-29,122,7.3,350,6.891317,257.85,1995,12,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,16.213405921671733,medium,False,False,True,False,False,long,False,False,True,False,q2,False,True,False,False,5.860786223465865,1,25,0
9312,Mortal Kombat,18000000,122195920,1995-08-18,101,5.4,452,10.870138,578.87,1995,8,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.0,0.0,0.0,0.0,1,16.705882371415992,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,6.115892125483034,0,25,0
577,To Die For,20000000,21284514,1995-05-20,106,6.7,177,10.448481,6.42,1995,5,2,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4.0,0.0,0.0,0.0,0,16.811242881518265,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,5.181783550292085,0,25,0
11861,How To Make An American Quilt,10000000,23574130,1995-10-06,116,6.5,38,4.485958,135.74,1995,10,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.118095750958314,medium,False,False,True,False,False,standard,False,True,False,False,q1,True,False,False,False,3.6635616461296463,0,25,0
807,Se7en,33000000,327311859,1995-09-22,127,8.1,5915,18.45743,891.85,1995,9,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,17.312018149733785,high,False,False,False,True,False,long,False,False,True,False,q4,False,False,False,True,8.68541582383069,1,25,0
10530,Pocahontas,55000000,346079773,1995-06-14,81,6.7,1509,13.280069,529.24,1995,6,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4.0,0.0,0.0,0.0,1,17.822843761378564,blockbuster,False,False,False,False,True,short,True,False,False,False,q4,False,False,False,True,7.31986492980897,0,25,0
629,The Usual Suspects,6000000,23341568,1995-07-19,106,8.1,3334,16.302466,289.03,1995,7,3,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,15.607270193858982,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,8.112227958349724,1,25,0
11448,Mighty Aphrodite,15000000,6700000,1995-09-13,95,6.7,145,15.899134,-55.33,1995,9,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.52356082573315,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,4.983606621708336,0,25,0
10634,Friday,3500000,28215918,1995-04-26,91,7.0,513,14.56965,706.17,1995,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1,15.068273812173889,low,False,True,False,False,False,standard,False,True,False,False,q4,False,False,False,True,6.2422232654551655,1,25,0
755,From Dusk Till Dawn,19000000,25836616,1996-01-19,108,6.9,1644,15.339153,35.98,1996,1,1,4,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,1,16.759949589762293,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,7.405495663199472,0,24,0
11859,Fair Game,50000000,11534477,1995-11-03,91,4.1,54,5.912223,-76.93,1995,11,4,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,standard,False,True,False,False,q2,False,True,False,False,4.007333185232471,0,25,0
36929,Big Bully,15000000,2042530,1996-01-26,90,3.9,16,2.936443,-86.38,1996,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,254.36,3.0,4.0,0,16.52356082573315,medium,False,False,True,False,False,short,True,False,False,False,q1,True,False,False,False,2.833213344056216,0,24,0
9102,Screamers,20000000,5781885,1995-09-08,108,6.1,154,12.758848,-71.09,1995,9,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.811242881518265,medium,False,False,True,False,False,standard,False,True,False,False,q4,False,False,False,True,5.043425116919247,0,25,0
400,Things to Do in Denver When You're Dead,8000000,529766,1995-12-01,116,6.7,87,4.486179,-93.38,1995,12,4,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,15.894952224644102,medium,False,False,True,False,False,standard,False,True,False,False,q1,True,False,False,False,4.477336814478207,0,25,0
10534,White Squall,38000000,10300000,1996-02-02,129,6.3,86,9.568604,-72.89,1996,2,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,17.453096744006448,high,False,False,False,True,False,long,False,False,True,False,q3,False,False,True,False,4.465908118654584,0,24,0
2086,Nick of Time,8169363,8175346,1995-11-22,90,6.1,190,6.848591,0.07,1995,11,4,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,15.915901618028812,medium,False,False,True,False,False,short,True,False,False,False,q2,False,True,False,False,5.25227342804663,0,25,0
9095,Mary Reilly,47000000,12379402,1996-02-23,104,5.7,77,12.866139,-73.66,1996,2,1,4,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,17.665658180950928,high,False,False,False,True,False,standard,False,True,False,False,q4,False,False,False,True,4.356708826689592,0,24,0
12158,Vampire in Brooklyn,14000000,19800000,1995-10-26,100,4.5,113,9.071127,41.43,1995,10,4,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0,45.66166666666667,4.0,4.0,0,16.454567959008102,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,4.736198448394496,0,25,0
9208,Broken Arrow,50000000,150270147,1996-02-09,108,5.7,459,14.957626,200.54,1996,2,1,4,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0,17.72753358339242,high,False,False,False,True,False,standard,False,True,False,False,q4,False,False,False,True,6.131226489483141,0,24,0
13685,Bottle Rocket,7000000,560069,1996-02-21,91,6.8,285,6.904831,-92.0,1996,2,1,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,15.76142084987672,medium,False,False,True,False,False,standard,False,True,False,False,q2,False,True,False,False,5.655991810819852,0,24,0
10802,Showgirls,45000000,20350754,1995-09-22,128,4.9,261,17.502375,-54.78,1995,9,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1,17.622173069956816,high,False,False,False,True,False,long,False,False,True,False,q4,False,False,False,True,5.568344503761097,0,25,0
9614,Happy Gilmore,12000000,41205099,1996-02-16,92,6.5,767,9.592265,243.38,1996,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,16.300417291085605,medium,False,False,True,False,False,standard,False,True,False,False,q3,False,False,True,False,6.643789733147672,0,24,0
688,The Bridges of Madison County,24000000,182016617,1995-05-28,135,7.3,397,5.951077,658.4,1995,5,2,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0,16.993564429978885,high,False,False,False,True,False,long,False,False,True,False,q2,False,True,False,False,5.986452005284438,1,25,0
